tickers
BEAM
AGMH
TGTX
CALT
SSIC
TWG
ETON
CRSP
NBTX
MATH
RPTX
NKLA
SPRO
NCTY
MRNO
MGX
SOWG
LCID
OCGN
HPK
FENC
REPX
PRTA
VOXR
MARA
CAPR
FHTX
EOSE
NYXH
AGBA
VNRX
ORLA
NAAS
IVA
MRSN
CIFR
REAX
VIVK
ASND
SMR
FORA
HYPR
GNFT
NAN
VTNR
ARGX
SPCE
BKKT
FAT
FATBB
ADAG
NVAX
MRNA
RYTM
LQDA
RIOT
UUUU
BLNK
OZ
GIFT
ITCI
SEAT
TCRX
LBRDA
LBRDK
SHOT
BCRX
SDIG
MRNS
FINS
RUM
TOON
PRCT
EMX
CLSK
XOS
EVLV
CGEN
NNDM
ARCT
ARDX
RGTI
ZK
CIVI
GROY
AREC
KULR
NU
RVNC
ADAP
BTOC
SNDL
NIPG
AXIL
DRCT
INMB
APO
RGT
LI
STR
RXRX
SYM
STEM
PLUR
EVGO
SERA
LYV
LUMO
FRA
PSQH
RDZN
LCTX
DM
SKYH
BEEM
LEV
CETY
GAUZ
AZ
MSGE
CELH
MAIN
OSCR
BCSF
FUN
INDI
JHI
MIRM
BYSI
BLDE
IREN
NOTV
TMDX
KGEI
NISN
MSC
IMPP
SATS
ATOM
PIII
SCWO
GMGI
PGY
CORZ
IMCR
SLDP
BBDC
XERS
BHIL
BGNE
FOF
BNTX
CTRM
VIK
THCH
DGHI
WBX
EFC
PGHL
ONDS
AMBI
UEC
AUTL
KNSA
PET
URGN
GB
RKLB
OWL
LIND
PTA
NN
NVTS
EP
NCLH
BBAR
DCGO
RYAAY
BALY
OSW
CPTN
CVRX
LGCL
LODE
RCL
FUBO
DLO
CTOS
ADMA
RXST
ARDC
SJT
DKNG
PRCH
CGBD
VTN
NOG
EGY
HIMS
HITI
ETO
NMM
RNP
WVE
SILV
GGAL
BHM
CDLR
AESI
INCR
LLAP
ZLAB
CBAT
NRT
ALAR
INSP
AXSM
CCB
PR
DESP
NFE
ML
CDTX
AOMR
XPEV
TRIN
BWIN
OPHC
ELLO
GRAB
LAZR
DVAX
BAER
LFST
LBRT
ACRS
FCNCA
ACDC
TNGX
TNGX
BYU
TOST
FIP
SLN
WULF
ALEC
ODD
FIHL
ECOR
LMND
S
MNDY
GRNT
SENS
HSAI
SMRT
PLAY
NOVA
BKSY
CNK
DSGR
HGV
PNST
BILL
TELL
ARBE
OUST
FRD
EPM
NRIX
CPA
AIXI
VIST
GBDC
BNGO
INTR
BITF
