Ticker,Oldest Date,Oldest Revenue,Newest Date,Newest Revenue,%Change Revenue,Revenue Slope,Revenue R²,Revenue-Income Correlation,Correlation-Adjusted R²,dividendYield,targetMeanPrice,trailingPE,pegRatio,trailingPegRatio,exDividendDate
SELX,2022-12-31,22116000.0,2024-03-31,9673000.0,-0.5626243443660698,-29234.330732997172,0.9644533284493562,1.0,0.9644533284493562,,,,,,
FN,2019-09-30,399296000.0,2024-09-30,804228000.0,1.0141148421221349,222595.56785574206,0.9753968381112718,0.9880760711324849,0.9637662755960338,,262.33,32.042553,2.91,,-
CMG,2019-12-31,1440224000.0,2024-09-30,2793576000.0,0.9396816050836536,869491.4403589237,0.971111770597103,0.9623372618011627,0.934537042219295,,65.34,54.4537,2.53,2.0368,-
FTNT,2019-12-31,609700000.0,2024-06-30,1434300000.0,1.3524684270952927,576549.176446068,0.9754991677059179,0.9564400746342356,0.9330064967662829,,78.18,46.251255,2.67,1.9605,-
ANET,2019-12-31,552546000.0,2024-06-30,1690400000.0,2.059292800961368,776646.9531380994,0.9591898950437336,0.972352824854164,0.9326710040173435,,383.0,48.07323,2.68,2.5224,-
MSFT,2018-12-31,31796000000.0,2024-09-30,65585000000.0,1.0626808403572776,17117425.236362975,0.9747471129939889,0.9458934609465836,0.9220069202575747,0.007900001,497.6,34.834297,2.34,2.234,2024-11-21
KSPI,2019-09-30,136296000000.0,2024-09-30,652592000000.0,3.788049539238129,294769935.19706655,0.9287937498795618,0.986323070922084,0.9160907036344473,0.066300005,70912.8,10.83871,,,2024-11-20
KARO,2020-02-29,510570000.0,2024-08-31,1106721000.0,1.1676185439802573,408353.09350804094,0.9740418949409526,0.9373681162875455,0.913035816245952,,,,,,
SOWG,2023-06-30,1315346.0,2024-06-30,15648046.0,10.896524564639266,38298.882125862365,0.9889215127838822,0.9139960553097273,0.9038703616953964,,,,,,
FIVN,2023-06-30,222882000.0,2024-09-30,264182000.0,0.18529984476090489,87548.71412894531,0.9917993371623756,0.9111416994618566,0.9036697335872698,,,,,,
NMIH,2019-09-30,101588000.0,2024-09-30,166092000.0,0.6349568846714179,34176.72798285133,0.9726555717081495,0.9259992894656476,0.9006783682965497,,44.0,8.489702,0.9,,-
BLZE,2023-06-30,24589000.0,2024-06-30,31285000.0,0.27231688966611084,19743.640950178684,0.9561002106368247,0.9395358643527177,0.8982904378084846,,,,,,
CME,2023-06-30,1360200000.0,2024-06-30,1532500000.0,0.12667254815468312,540520.6681063314,0.895797007979152,0.9942077931678646,0.8906083664293286,0.020399999,236.0,23.753685,4.93,7.8375,2024-12-09
JAMF,2023-06-30,135089000.0,2024-09-30,159286000.0,0.17911895120994306,47997.241191086745,0.9167471579749717,0.9713522150614488,0.8904843825502767,,,,,,
HSHP,2023-06-30,6732000.0,2024-06-30,31202000.0,3.634878193701723,68055.46371853919,0.9874099602955763,0.9016409902158596,0.890289294349906,,,,,,
ESQ,2019-09-30,11797000.0,2024-06-30,30597000.0,1.593625498007968,13162.500250918249,0.9114748392368133,0.9749430159438573,0.8886360287224813,0.0083,74.0,14.650505,,,2024-11-15
ARW,2023-06-30,8514516000.0,2024-09-30,6823319000.0,-0.19862514792385144,-3971871.258237478,0.900991047826666,0.9843018194905347,0.8868471277204707,,,,,,
CFLT,2023-06-30,189285000.0,2024-09-30,250199000.0,0.3218110257019838,128954.6502305641,0.9789089862639482,0.904821342839421,0.8857377434689219,,,,,,
KNSL,2023-06-30,295766000.0,2024-09-30,418058000.0,0.41347551780799685,263439.5728736077,0.9843509693326845,0.8979416906657248,0.8838897736110358,,,,,,
TSM,2019-09-30,293030000000.0,2024-09-30,759692000000.0,1.5925400129679554,237760229.57449687,0.9114581746345847,0.9689916096396455,0.8831953237583793,0.0123000005,217.81,36.12208,1.48,1.2894,2024-12-12
SKYW,2023-06-30,725643000.0,2024-09-30,912786000.0,0.25789954564434575,402677.80841857474,0.9100439280287252,0.9703864163938329,0.8830942660807619,,,,,,
AMAL,2023-06-30,70373000.0,2024-09-30,81869000.0,0.163358106091825,28320.85084123202,0.9488682768619167,0.9284640246721911,0.8809900592189821,,,,,,
LFST,2023-09-30,262895000.0,2024-09-30,312722000.0,0.18953194241046806,143710.6655494374,0.9202897080438271,0.9565226638096253,0.8802779630146639,,,,,,
AU,2023-06-30,1158000000.0,2024-09-30,1491000000.0,0.28756476683937826,767758.9558455985,0.9471049430548893,0.9274522534298031,0.8783946136707624,,,,,,
PLMR,2023-06-30,90396000.0,2024-09-30,148355000.0,0.641167750785433,132069.20789433285,0.9640266435252752,0.908724450531134,0.8760345819348792,,,,,,
PFX,2023-06-30,11121471.0,2024-06-30,5141636.0,-0.5376838189840175,-14997.10163252241,0.875614892342937,0.9997290348410296,0.8753776312144365,,,,,,
HNNA,2023-06-30,5701000.0,2024-06-30,7784000.0,0.36537449570250835,5293.684426777763,0.8871695991480572,0.9863762272405752,0.875083002130194,,,,,,
AVDL,2023-06-30,1496000.0,2024-06-30,41504000.0,26.74331550802139,109460.2332447876,0.9805530004710398,0.8918226644633045,0.8744793895275705,,,,,,
MPWR,2019-12-31,166738000.0,2024-09-30,620119000.0,2.719122215691684,227793.19274110274,0.8966215236960186,0.9726375978110513,0.8720878049533801,0.0066000004,952.67,85.44332,2.2,2.0293,2024-09-30
CAMT,2019-09-30,32470000.0,2024-06-30,102591000.0,2.159562673236834,38885.83393384555,0.8900848606402264,0.9792671854038454,0.8716308962497284,,,,,,
