Ticker,Oldest Revenue Year,Oldest Revenue,Most Recent Revenue Year,Most Recent Revenue,Percent Change
GCI,2020,3405670000.0,2023,2663550000.0,-21.79%
NIU,2020,2444328764.0,2023,2651757646.0,8.49%
WBS,2020,1176670000.0,2023,2651606000.0,125.35%
WDH,2020,3027948000.0,2023,2630707000.0,-13.12%
ACDC,2020,547700000.0,2023,2630000000.0,380.19%
CLVT,2020,1254100000.0,2023,2628800000.0,109.62%
TDOC,2020,1093962000.0,2023,2602415000.0,137.89%
AMBI,2020,364284000.0,2023,2589960000.0,610.97%
NEXA,2020,1950929000.0,2023,2573233000.0,31.90%
UVV,2021,1983357000.0,2023,2569824000.0,29.57%
PLTK,2020,2371500000.0,2023,2567000000.0,8.24%
NVST,2020,1929100000.0,2023,2566500000.0,33.04%
VSAT,2021,1920878000.0,2023,2556158000.0,33.07%
WEX,2020,1559869000.0,2023,2548000000.0,63.35%
DOCU,2021,1453047000.0,2023,2515915000.0,73.15%
ALGT,2020,990073000.0,2023,2509857000.0,153.50%
EXAS,2020,1491391000.0,2023,2499766000.0,67.61%
VIOT,2020,5825624000.0,2023,2493386000.0,-57.20%
TTEC,2020,1949248000.0,2023,2462817000.0,26.35%
BALY,2020,372792000.0,2023,2449073000.0,556.95%
BMRN,2020,1860455000.0,2023,2419226000.0,30.03%
BFAM,2020,1515093000.0,2023,2418257000.0,59.61%
NFE,2020,451650000.0,2023,2413296000.0,434.33%
GEO,2020,2350098000.0,2023,2413167000.0,2.68%
PRG,2020,2484595000.0,2023,2408264000.0,-3.07%
GCO,2021,1786530000.0,2023,2384888000.0,33.49%
EFXT,2020,954430816.524985,2023,2383608472.787577,149.74%
CRGY,2020,754221000.0,2023,2382602000.0,215.90%
PSNY,2020,610245000.0,2023,2378562000.0,289.77%
PSNYW,2020,610245000.0,2023,2378562000.0,289.77%
NICE,2020,1648016000.0,2023,2377508000.0,44.26%
OGS,2020,1530268000.0,2023,2371990000.0,55.00%
GRAB,2020,469000000.0,2023,2359000000.0,402.99%
RPRX,2020,2122353000.0,2023,2354554000.0,10.94%
BKH,2020,1696941000.0,2023,2331300000.0,37.38%
SCL,2020,1869750000.0,2023,2325768000.0,24.39%
DNOW,2020,1619000000.0,2023,2321000000.0,43.36%
PAAS,2020,1338812000.0,2023,2316100000.0,73.00%
DNB,2020,1738700000.0,2023,2314000000.0,33.09%
DRVN,2020,904200000.0,2023,2304029000.0,154.81%
GNTX,2020,1688189405.0,2023,2299215044.0,36.19%
SSP,2020,1857478000.0,2023,2292912000.0,23.44%
GBTG,2020,793000000.0,2023,2290000000.0,188.78%
WTFCM,2020,1644096000.0,2023,2271970000.0,38.19%
YY,2020,1918144000.0,2023,2267870000.0,18.23%
ICUI,2020,1271004000.0,2023,2259126000.0,77.74%
WWW,2020,1791100000.0,2023,2242900000.0,25.22%
AMED,2020,2071519000.0,2023,2236382000.0,7.96%
CINT,2020,956519000.0,2023,2233466000.0,133.50%
UNF,2020,1804159000.0,2023,2233047000.0,23.77%
MTW,2020,1443400000.0,2023,2227800000.0,54.34%
FLNC,2020,561323000.0,2023,2217978000.0,295.13%
TITN,2020,1305171000.0,2023,2209306000.0,69.27%
RNG,2020,1183657000.0,2023,2202429000.0,86.07%
VET,2020,1247398000.0,2023,2199555000.0,76.33%
DLX,2020,1790781000.0,2023,2192260000.0,22.42%
U,2020,772445000.0,2023,2187317000.0,183.17%
WEN,2020,1733825000.0,2023,2181578000.0,25.82%
DOC,2020,1644875000.0,2023,2181003000.0,32.59%
STG,2020,2203791000.0,2023,2159584000.0,-2.01%
AAN,2020,1734919000.0,2023,2139890000.0,23.34%
PZZA,2020,1813234000.0,2023,2135713000.0,17.78%
CCO,2020,1854608000.0,2023,2127140000.0,14.69%
EYE,2020,1711760000.0,2023,2126468000.0,24.23%
IHS,2020,1403149000.0,2023,2125539000.0,51.48%
BEDU,2020,1476347000.0,2023,2123751000.0,43.85%
SOFI,2020,565532000.0,2023,2108215000.0,272.78%
RITM,2020,-262757000.0,2023,2079023000.0,-891.23%
MBLY,2020,967000000.0,2023,2079000000.0,114.99%
KMT,2021,1841441000.0,2023,2078184000.0,12.86%
JKHY,2021,1758225000.0,2023,2077702000.0,18.17%
HELE,2021,2098799000.0,2023,2072667000.0,-1.25%
ATSG,2020,1570575000.0,2023,2070611000.0,31.84%
NVRI,2020,1534033000.0,2023,2069225000.0,34.89%
AMWD,2021,1744014000.0,2023,2066200000.0,18.47%
SNOW,2021,592049000.0,2023,2065659000.0,248.90%
BGS,2020,1967909000.0,2023,2062313000.0,4.80%
UXIN,2021,657408000.0,2023,2059241000.0,213.24%
WTRG,2020,1462698000.0,2023,2053824000.0,40.41%
MASI,2020,1143700000.0,2023,2048100000.0,79.08%
CLOV,2020,672888000.0,2023,2033720000.0,202.24%
MATV,2020,1074400000.0,2023,2026000000.0,88.57%
WLYB,2021,1941501000.0,2023,2019900000.0,4.04%
WLY,2021,1941501000.0,2023,2019900000.0,4.04%
FLWS,2020,1489637000.0,2023,2017853000.0,35.46%
UIS,2020,2026300000.0,2023,2015400000.0,-0.54%
SAM,2020,1736432000.0,2023,2008625000.0,15.68%
COLB,2020,1294528000.0,2023,1997098000.0,54.27%
MD,2020,1733951000.0,2023,1994640000.0,15.03%
MERC,2020,1423140000.0,2023,1993844000.0,40.10%
NUS,2020,2581934000.0,2023,1969131000.0,-23.73%
PLAY,2021,436512000.0,2023,1964400000.0,350.02%
NJR,2020,1953668000.0,2023,1962994000.0,0.48%
KWR,2020,1417677000.0,2023,1953313000.0,37.78%
CPAC,2020,1296334000.0,2023,1950075000.0,50.43%
TXNM,2020,1523012000.0,2023,1939198000.0,27.33%
BTG,2020,1788928000.0,2023,1934272000.0,8.12%
VHI,2020,1849700000.0,2023,1921700000.0,3.89%
SEIC,2020,1684058000.0,2023,1919793000.0,14.00%
TBI,2020,1846360000.0,2023,1906243000.0,3.24%
ZGN,2020,1014733000.0,2023,1904549000.0,87.69%
NXT,2021,1195617000.0,2023,1902137000.0,59.09%
CXW,2020,1905485000.0,2023,1896635000.0,-0.46%
AVAH,2020,1495105000.0,2023,1895209000.0,26.76%
OEC,2020,1136400000.0,2023,1893900000.0,66.66%
SNBR,2020,1856555000.0,2023,1887482000.0,1.67%
XYF,2020,-61501115.0,2023,1886003649.0,-3166.62%
MATW,2020,1498306000.0,2023,1880896000.0,25.53%
VLY,2020,1301301000.0,2023,1879927000.0,44.47%
VLYPP,2020,1301301000.0,2023,1879927000.0,44.47%
VLYPO,2020,1301301000.0,2023,1879927000.0,44.47%
ALE,2020,1169100000.0,2023,1879800000.0,60.79%
CACC,2020,1665200000.0,2023,1879800000.0,12.89%
HSAI,2020,415514000.0,2023,1876989000.0,351.73%
ALTG,2020,873600000.0,2023,1876800000.0,114.84%
SVC,2020,1265254000.0,2023,1873863000.0,48.10%
CTOS,2020,302739000.0,2023,1865100000.0,516.08%
HOOD,2020,958000000.0,2023,1865000000.0,94.68%
OKTA,2021,835000000.0,2023,1858000000.0,122.51%
CON,2021,1732041000.0,2023,1838081000.0,6.12%
ONB,2020,835368000.0,2023,1836495000.0,119.84%
TDC,2020,1836000000.0,2023,1833000000.0,-0.16%
ACCO,2020,1655200000.0,2023,1832800000.0,10.73%
ALHC,2020,959222000.0,2023,1823630000.0,90.12%
OUT,2020,1236300000.0,2023,1820600000.0,47.26%
VNO,2020,1527951000.0,2023,1811163000.0,18.54%
FUN,2020,181555000.0,2023,1798668000.0,890.70%
HAIN,2021,1970302000.0,2023,1796643000.0,-8.81%
HXL,2020,1502400000.0,2023,1789000000.0,19.08%
TRIP,2020,604000000.0,2023,1788000000.0,196.03%
FTDR,2020,1475000000.0,2023,1779000000.0,20.61%
LITE,2021,1742800000.0,2023,1767000000.0,1.39%
IDA,2020,1350729000.0,2023,1766356000.0,30.77%
WB,2020,1689931000.0,2023,1759836000.0,4.14%
AVA,2020,1321891000.0,2023,1751554000.0,32.50%
WPC,2020,1209319000.0,2023,1741358000.0,43.99%
PLCE,2021,1522598000.0,2023,1708482000.0,12.21%
ENOV,2020,1120700000.0,2023,1707197000.0,52.33%
SCHL,2021,1300300000.0,2023,1704000000.0,31.05%
CANG,2020,2052431752.0,2023,1701918741.0,-17.08%
KOS,2020,804033000.0,2023,1701608000.0,111.63%
PAYC,2020,841434000.0,2023,1693674000.0,101.28%
JACK,2020,1021506000.0,2023,1692306000.0,65.67%
NGVT,2020,1216100000.0,2023,1692100000.0,39.14%
DNUT,2020,1122036000.0,2023,1686104000.0,50.27%
VZIO,2020,2042500000.0,2023,1680000000.0,-17.75%
CABO,2020,1325229000.0,2023,1678081000.0,26.63%
HCSG,2020,1760303000.0,2023,1671389000.0,-5.05%
ESS,2020,1495748000.0,2023,1669395000.0,11.61%
KRO,2020,1638800000.0,2023,1666500000.0,1.69%
JBT,2020,1727800000.0,2023,1664400000.0,-3.67%
PKOH,2020,1152100000.0,2023,1659700000.0,44.06%
PRVA,2020,817075000.0,2023,1657737000.0,102.89%
SONO,2020,1326328000.0,2023,1655255000.0,24.80%
KAR,2020,1326900000.0,2023,1645100000.0,23.98%
RILY,2020,834217000.0,2023,1643600000.0,97.02%
SFIX,2020,1711733000.0,2023,1638423000.0,-4.28%
PUMP,2020,789232000.0,2023,1630399000.0,106.58%
UDR,2020,1241165000.0,2023,1627501000.0,31.13%
GHG,2020,930010096.0,2023,1627257689.0,74.97%
RES,2020,598302000.0,2023,1617474000.0,170.34%
PSFE,2020,1426489000.0,2023,1601138000.0,12.24%
INFA,2020,1323096000.0,2023,1595160000.0,20.56%
AFRM,2021,870464000.0,2023,1587985000.0,82.43%
ARRY,2020,872662000.0,2023,1576551000.0,80.66%
THCH,2020,212084571.0,2023,1575780180.0,643.00%
CRK,2020,858195000.0,2023,1565109000.0,82.37%
WIX,2020,984367000.0,2023,1561665000.0,58.65%
BYON,2020,2493915000.0,2023,1561122000.0,-37.40%
JJSF,2020,1022038000.0,2023,1558829000.0,52.52%
LE,2021,1427448000.0,2023,1555429000.0,8.97%
VTLE,2020,677192000.0,2023,1547604000.0,128.53%
BNED,2021,1406516000.0,2023,1543208000.0,9.72%
IART,2020,1371868000.0,2023,1541573000.0,12.37%
ASIX,2020,1157917000.0,2023,1533599000.0,32.44%
ZWS,2020,562700000.0,2023,1530500000.0,171.99%
DAY,2020,842500000.0,2023,1513700000.0,79.67%
XPRO,2020,675026000.0,2023,1512764000.0,124.10%
GDOT,2020,1253760000.0,2023,1501328000.0,19.75%
SVV,2020,834010000.0,2023,1500249000.0,79.88%
SY,2020,1294988000.0,2023,1498029000.0,15.68%
NEGG,2020,2114872000.0,2023,1496963000.0,-29.22%
VRSN,2020,1265052000.0,2023,1493100000.0,18.03%
BIRK,2020,728548000.0,2023,1491911000.0,104.78%
VSTA,2020,997628000.0,2023,1486273000.0,48.98%
LAUR,2020,1024917000.0,2023,1484288000.0,44.82%
HLMN,2020,1368295000.0,2023,1476477000.0,7.91%
LGCL,2020,230208000.0,2023,1473958000.0,540.27%
THRM,2020,913098000.0,2023,1469076000.0,60.89%
SJ,2020,1222183000.0,2023,1464871000.0,19.86%
FOXF,2020,890554000.0,2023,1464178000.0,64.41%
CRSR,2020,1702367000.0,2023,1459875000.0,-14.24%
TALO,2020,575936000.0,2023,1457886000.0,153.13%
SXT,2020,1332001000.0,2023,1456450000.0,9.34%
TPIC,2020,1143054000.0,2023,1455183000.0,27.31%
LESL,2020,1112229000.0,2023,1451209000.0,30.48%
B,2020,1124391000.0,2023,1450871000.0,29.04%
SGH,2020,1122377000.0,2023,1441250000.0,28.41%
TBLA,2020,1188893000.0,2023,1439685000.0,21.09%
SGHC,2020,908019000.0,2023,1436117000.0,58.16%
HMN,2020,1289500000.0,2023,1432800000.0,11.11%
PEGA,2020,1017517000.0,2023,1432616000.0,40.80%
SPH,2020,1107897000.0,2023,1429194000.0,29.00%
SSRM,2020,853089000.0,2023,1426927000.0,67.27%
VATE,2020,716900000.0,2023,1423000000.0,98.49%
NWE,2020,1198670000.0,2023,1422143000.0,18.64%
PEB,2020,442888000.0,2023,1419949000.0,220.61%
FOSL,2020,1613343000.0,2023,1412384000.0,-12.46%
OXM,2021,748833000.0,2023,1411528000.0,88.50%
DHC,2020,1632026000.0,2023,1410308000.0,-13.59%
CRMT,2021,909674000.0,2023,1400413000.0,53.95%
SPWH,2021,1451767000.0,2023,1399515000.0,-3.60%
UVE,2020,1072770000.0,2023,1391582000.0,29.72%
GLT,2020,916498000.0,2023,1385516000.0,51.18%
SUP,2020,1100760000.0,2023,1385283000.0,25.85%
FWRD,2020,1269573000.0,2023,1370735000.0,7.97%
FUBO,2020,217746000.0,2023,1368225000.0,528.36%
AHT,2020,508238000.0,2023,1367533000.0,169.07%
RMBL,2020,416427000.0,2023,1366400000.0,228.12%
ZD,2020,1158829000.0,2023,1364028000.0,17.71%
ANGI,2020,1467925000.0,2023,1358748000.0,-7.44%
SMP,2020,1128588000.0,2023,1358272000.0,20.35%
APLE,2020,601879000.0,2023,1343800000.0,123.27%
HR,2020,499629000.0,2023,1343769000.0,168.95%
ASTE,2020,1024400000.0,2023,1338200000.0,30.63%
YELP,2020,872933000.0,2023,1337062000.0,53.17%
PINC,2021,1721152000.0,2023,1336095000.0,-22.37%
BJRI,2020,778510000.0,2023,1333229000.0,71.25%
RLJ,2020,473087000.0,2023,1325577000.0,180.20%
MNRO,2021,1125721000.0,2023,1325382000.0,17.74%
REG,2020,1016175000.0,2023,1322466000.0,30.14%
OPAD,2020,1064257000.0,2023,1314412000.0,23.51%
TUP,2019,1614100000.0,2022,1304000000.0,-19.21%
RRGB,2020,868715000.0,2023,1303046000.0,50.00%
DLB,2020,1161792000.0,2023,1299744000.0,11.87%
HLX,2020,733555000.0,2023,1289728000.0,75.82%
CURV,2020,1036984000.0,2023,1288144000.0,24.22%
ARHS,2020,507429000.0,2023,1287704000.0,153.77%
IPGP,2020,1200724000.0,2023,1287439000.0,7.22%
WBTN,2022,1079388000.0,2023,1282748000.0,18.84%
EAF,2019,1790793000.0,2022,1281250000.0,-28.45%
PIII,2019,145482112.0,2023,1266375000.0,770.47%
UP,2020,694981000.0,2023,1253317000.0,80.34%
ENV,2020,998230000.0,2023,1245620000.0,24.78%
CNMD,2020,862459000.0,2023,1244744000.0,44.33%
RLX,2020,3819712000.0,2023,1244043000.0,-67.43%
SMPL,2020,816641000.0,2023,1242672000.0,52.17%
ZI,2020,476200000.0,2023,1239500000.0,160.29%
VVI,2020,415435000.0,2023,1238680000.0,198.16%
CADE,2020,1027471000.0,2023,1235013000.0,20.20%
WNS,2021,912643000.0,2023,1224262000.0,34.14%
GOOS,2021,903700000.0,2023,1217000000.0,34.67%
LSEA,2020,734608000.0,2023,1209947000.0,64.71%
HTLD,2020,645262000.0,2023,1207458000.0,87.13%
CMP,2020,1004900000.0,2023,1204700000.0,19.88%
NWN,2020,773679000.0,2023,1197475000.0,54.78%
HUIZ,2020,1220222000.0,2023,1195552000.0,-2.02%
NVEI,2020,376226000.0,2023,1189893000.0,216.27%
MEI,2021,1088000000.0,2023,1179600000.0,8.42%
ACEL,2020,316352000.0,2023,1170420000.0,269.97%
CSGS,2020,990533000.0,2023,1169258000.0,18.04%
HAE,2021,870463000.0,2023,1168660000.0,34.26%
NEUE,2020,514887000.0,2023,1160802000.0,125.45%
SLND,2020,1057936000.0,2023,1160417000.0,9.69%
EE,2020,430843000.0,2023,1158963000.0,169.00%
LIVN,2020,934241000.0,2023,1153545000.0,23.47%
ESGRO,2020,2501000000.0,2023,1153000000.0,-53.90%
ESGRP,2020,2501000000.0,2023,1153000000.0,-53.90%
UNIT,2020,1067041000.0,2023,1149831000.0,7.76%
ADTN,2020,506510000.0,2023,1149100000.0,126.87%
HFFG,2020,566832000.0,2023,1148493000.0,102.62%
AIN,2020,900610000.0,2023,1147909000.0,27.46%
OMCL,2020,892208000.0,2023,1147112000.0,28.57%
ONIT,2020,976800000.0,2023,1144600000.0,17.18%
SHCO,2020,384376000.0,2023,1135879000.0,195.51%
STRA,2020,1027653000.0,2023,1132924000.0,10.24%
FRT,2020,835494000.0,2023,1132154000.0,35.51%
TGI,2021,1869719000.0,2023,1130562000.0,-39.53%
PRA,2020,886861000.0,2023,1130421000.0,27.46%
KRC,2020,898397000.0,2023,1129694000.0,25.75%
TWKS,2020,803375000.0,2023,1126816000.0,40.26%
EMBC,2020,1085500000.0,2023,1120800000.0,3.25%
VCSA,2020,491760000.0,2023,1117950000.0,127.34%
CNF,2020,1102818556.0,2023,1114104537.0,1.02%
CNSL,2020,1304028000.0,2023,1110120000.0,-14.87%
EVC,2020,344026000.0,2023,1106867000.0,221.74%
VIAV,2021,1198900000.0,2023,1106100000.0,-7.74%
BLKB,2020,913219000.0,2023,1105432000.0,21.05%
PETQ,2020,780051000.0,2023,1101963000.0,41.27%
AY,2020,1013260000.0,2023,1099894000.0,8.55%
UFCS,2020,1078260000.0,2023,1098331000.0,1.86%
FNKO,2020,652537000.0,2023,1096086000.0,67.97%
CGAU,2020,721262000.0,2023,1094897000.0,51.80%
EVA,2019,683568000.0,2022,1094276000.0,60.08%
EQX,2020,845388000.0,2023,1088191000.0,28.72%
SHAK,2020,522867000.0,2023,1087533000.0,107.99%
STVN,2020,662037000.0,2023,1085354000.0,63.94%
NEP,2020,917000000.0,2023,1078000000.0,17.56%
DRH,2020,299488000.0,2023,1074867000.0,258.90%
MED,2020,934842000.0,2023,1072054000.0,14.68%
ESTC,2021,608489000.0,2023,1068989000.0,75.68%
RVLV,2020,580649000.0,2023,1068719000.0,84.06%
PB,2020,1121938000.0,2023,1068128000.0,-4.80%
JBI,2020,548973000.0,2023,1066400000.0,94.25%
PATH,2021,607643000.0,2023,1058581000.0,74.21%
LFST,2019,212518000.0,2023,1055665000.0,396.74%
BMBL,2019,488940000.0,2023,1051830000.0,115.12%
SNCY,2020,401486000.0,2023,1049620000.0,161.43%
SHC,2020,818158000.0,2023,1049288000.0,28.25%
UBSI,2020,1029181000.0,2023,1047454000.0,1.78%
TCS,2021,990088000.0,2023,1047258000.0,5.77%
EHAB,2020,1078200000.0,2023,1046300000.0,-2.96%
KTOS,2020,747700000.0,2023,1037100000.0,38.71%
FIBK,2020,653700000.0,2023,1025800000.0,56.92%
XHR,2020,369776000.0,2023,1025443000.0,177.31%
HHH,2020,699489000.0,2023,1024102000.0,46.41%
PCH,2020,1040930000.0,2023,1024075000.0,-1.62%
EBS,2020,1462200000.0,2023,1023000000.0,-30.04%
DEI,2020,891523000.0,2023,1020488000.0,14.47%
TAL,2021,4495755000.0,2023,1019772000.0,-77.32%
IH,2020,531915000.0,2023,1018139000.0,91.41%
STWD,2020,822436000.0,2023,1016472000.0,23.59%
SQSP,2020,621149000.0,2023,1012336000.0,62.98%
HGTY,2020,499548000.0,2023,1011756000.0,102.53%
GPRO,2020,891925000.0,2023,1005459000.0,12.73%
SLQT,2020,529338000.0,2023,1002848000.0,89.45%
JBSS,2021,858482000.0,2023,999686000.0,16.45%
BW,2020,566317000.0,2023,999354000.0,76.47%
CVGI,2020,717699000.0,2023,994679000.0,38.59%
HAYW,2020,875402000.0,2023,992452000.0,13.37%
SHO,2020,267906000.0,2023,986480000.0,268.22%
LBRDA,2020,51000000.0,2023,981000000.0,1823.53%
LBRDK,2020,51000000.0,2023,981000000.0,1823.53%
PAHC,2021,833350000.0,2023,977889000.0,17.34%
PLYA,2020,273189000.0,2023,977504000.0,257.81%
RDFN,2020,886093000.0,2023,976672000.0,10.22%
SRI,2020,648006000.0,2023,975818000.0,50.59%
MRCY,2021,923996000.0,2023,973882000.0,5.40%
CVGW,2020,1059371000.0,2023,971948000.0,-8.25%
BROS,2020,327413000.0,2023,965776000.0,194.97%
RMR,2020,589505000.0,2023,962316000.0,63.24%
MPLN,2020,937763000.0,2023,961524000.0,2.53%
ZUMZ,2021,990652000.0,2023,958380000.0,-3.26%
DOUG,2020,773987000.0,2023,955578000.0,23.46%
AVO,2020,862300000.0,2023,953900000.0,10.62%
HPP,2020,804965000.0,2023,952297000.0,18.30%
PCOR,2020,400291000.0,2023,950010000.0,137.33%
OHI,2020,892381000.0,2023,949740000.0,6.43%
RELY,2020,256956000.0,2023,944285000.0,267.49%
PTCT,2020,380766000.0,2023,937822000.0,146.30%
CMCO,2021,649642000.0,2023,936240000.0,44.12%
OB,2020,767142000.0,2023,935818000.0,21.99%
DGICA,2020,777819910.0,2023,927337984.0,19.22%
DGICB,2020,777819910.0,2023,927337984.0,19.22%
MCW,2020,574941000.0,2023,927070000.0,61.25%
SAFT,2020,840401000.0,2023,925946000.0,10.18%
TASK,2020,478046000.0,2023,924365000.0,93.36%
USNA,2020,1134644000.0,2023,921010000.0,-18.83%
GETY,2020,815401000.0,2023,916555000.0,12.41%
NTCT,2021,831282000.0,2023,914530000.0,10.01%
CARG,2020,551451000.0,2023,914242000.0,65.79%
SLG,2020,1052744000.0,2023,913710000.0,-13.21%
FIVN,2020,434908000.0,2023,910488000.0,109.35%
SNDL,2020,60918000.0,2023,909006000.0,1392.18%
ROG,2020,802583000.0,2023,908400000.0,13.18%
VRNT,2021,830247000.0,2023,902245000.0,8.67%
TRS,2020,769970000.0,2023,893550000.0,16.05%
VREX,2020,738300000.0,2023,893400000.0,21.01%
FWRG,2020,342388000.0,2023,891551000.0,160.39%
PLUG,2020,-93237000.0,2023,891340000.0,-1055.99%
IRBT,2020,1430390000.0,2023,890580000.0,-37.74%
WW,2020,1378124000.0,2023,889551000.0,-35.45%
KLXE,2020,544000000.0,2023,888400000.0,63.31%
MSGS,2021,415721000.0,2023,887447000.0,113.47%
BGFV,2020,1041212000.0,2023,884745000.0,-15.03%
MAC,2020,786026000.0,2023,884068000.0,12.47%
ALRM,2020,618003000.0,2023,881682000.0,42.67%
SRAD,2020,404924000.0,2023,877621000.0,116.74%
SSTK,2020,666686000.0,2023,874587000.0,31.18%
SHYF,2020,675973000.0,2023,872198000.0,29.03%
UCB,2020,639362000.0,2023,871949000.0,36.38%
MPW,2020,1249238000.0,2023,871799000.0,-30.21%
DEC,2020,408693000.0,2023,868263000.0,112.45%
CCCS,2020,633063000.0,2023,866378000.0,36.85%
WEST,2020,550846000.0,2023,864714000.0,56.98%
LC,2020,304855000.0,2023,864619000.0,183.62%
OBDC,2020,302530000.0,2023,864329000.0,185.70%
OPK,2020,1435413000.0,2023,863495000.0,-39.84%
BRY,2020,406052000.0,2023,863454000.0,112.65%
TISI,2020,852539000.0,2023,862615000.0,1.18%
EIG,2020,711400000.0,2023,850900000.0,19.61%
FSM,2020,278966000.0,2023,842428000.0,201.98%
FFBC,2020,645634000.0,2023,840192000.0,30.13%
HCM,2020,227976000.0,2023,837999000.0,267.58%
CGNX,2020,811020000.0,2023,837547000.0,3.27%
HLIO,2020,523000000.0,2023,835600000.0,59.77%
HIW,2020,736900000.0,2023,833997000.0,13.18%
PAYO,2020,345592000.0,2023,831103000.0,140.49%
DIN,2020,689268000.0,2023,831068000.0,20.57%
ORA,2020,705342000.0,2023,829424000.0,17.59%
NNN,2020,660681000.0,2023,828111000.0,25.34%
RBBN,2020,843795000.0,2023,826339000.0,-2.07%
BVN,2020,676542000.0,2023,823845000.0,21.77%
NEOG,2021,468459000.0,2023,822447000.0,75.56%
DBRG,2020,416430000.0,2023,821383000.0,97.24%
CDE,2020,785461000.0,2023,821206000.0,4.55%
PRAA,2020,1065414000.0,2023,815497000.0,-23.46%
MYE,2020,510369000.0,2023,813067000.0,59.31%
JRVR,2020,668689000.0,2023,812009000.0,21.43%
ICHR,2020,914236000.0,2023,811120000.0,-11.28%
ZENV,2020,429701000.0,2023,807577000.0,87.94%
FHB,2020,711000000.0,2023,805315000.0,13.27%
CUZ,2020,740340000.0,2023,802874000.0,8.45%
MMLP,2020,672142000.0,2023,797963000.0,18.72%
REXR,2020,330135000.0,2023,797826000.0,141.67%
MTRX,2020,1100938000.0,2023,795020000.0,-27.79%
CTRN,2021,783294000.0,2023,795011000.0,1.50%
DAVA,2020,350950000.0,2023,794733000.0,126.45%
CWT,2020,794307000.0,2023,794632000.0,0.04%
OSW,2020,120925000.0,2023,794045000.0,556.64%
UWMC,2020,4682774000.0,2023,793693000.0,-83.05%
IRDM,2020,583439000.0,2023,790723000.0,35.53%
GBCI,2020,762764000.0,2023,789437000.0,3.50%
IONS,2020,729264000.0,2023,787647000.0,8.01%
OTLY,2020,421351000.0,2023,783348000.0,85.91%
OIS,2020,638075000.0,2023,782283000.0,22.60%
SLAB,2020,510928000.0,2023,782258000.0,53.11%
SFNC,2020,860936000.0,2023,781545000.0,-9.22%
EVO,2020,500924000.0,2023,781426000.0,56.00%
BKKT,2020,28495000.0,2023,780136000.0,2637.80%
RPD,2020,411486000.0,2023,777707000.0,89.00%
CFLT,2020,236577000.0,2023,776952000.0,228.41%
RGP,2021,629516000.0,2023,775643000.0,23.21%
PGY,2020,91740000.0,2023,772814000.0,742.40%
BORR,2020,307500000.0,2023,771600000.0,150.93%
TR,2020,471063000.0,2023,769365000.0,63.33%
MYTE,2020,449487000.0,2023,768621000.0,71.00%
CRCT,2020,959030000.0,2023,765147000.0,-20.22%
FA,2019,481767000.0,2023,763761000.0,58.53%
MNR,2021,392497000.0,2023,762309000.0,94.22%
ATNI,2020,455444000.0,2023,762216000.0,67.36%
CATO,2021,575111000.0,2023,759260000.0,32.02%
SWI,2020,716770000.0,2023,758740000.0,5.86%
WOLF,2021,525600000.0,2023,758500000.0,44.31%
GPRK,2020,393692000.0,2023,756625000.0,92.19%
SMTC,2021,595117000.0,2023,756533000.0,27.12%
PRTH,2020,404342000.0,2023,755612000.0,86.87%
MYGN,2020,638600000.0,2023,753200000.0,17.95%
MKTX,2020,689125000.0,2023,752547000.0,9.20%
SFL,2020,471047000.0,2023,752286000.0,59.71%
MOV,2021,506397000.0,2023,751898000.0,48.48%
GDRX,2020,550700000.0,2023,750265000.0,36.24%
NR,2020,492625000.0,2023,749600000.0,52.16%
TNDM,2020,498830000.0,2023,747718000.0,49.89%
OFIX,2020,406562000.0,2023,746641000.0,83.65%
EGHT,2021,532344000.0,2023,743938000.0,39.75%
PGRE,2020,714237000.0,2023,742788000.0,4.00%
WAFD,2020,556494000.0,2023,742611000.0,33.44%
NTGR,2020,1255202000.0,2023,740840000.0,-40.98%
ESRT,2020,609228000.0,2023,739572000.0,21.39%
BHR,2020,226974000.0,2023,739343000.0,225.74%
LDI,2020,4165392000.0,2023,739267000.0,-82.25%
FET,2020,512476000.0,2023,738864000.0,44.18%
INN,2020,234463000.0,2023,736127000.0,213.96%
HRTG,2020,593385000.0,2023,735498000.0,23.95%
GOCO,2020,877350000.0,2023,734671000.0,-16.26%
LSPD,2021,221728000.0,2023,730506000.0,229.46%
MCS,2020,237688000.0,2023,729575000.0,206.95%
UDMY,2020,429899000.0,2023,728937000.0,69.56%
ACAD,2020,441755000.0,2023,726437000.0,64.44%
INDB,2020,473077000.0,2023,722127000.0,52.64%
NOVA,2020,160820000.0,2023,720653000.0,348.11%
STER,2020,454053000.0,2023,719640000.0,58.49%
BOOM,2020,229161000.0,2023,719188000.0,213.84%
CHGG,2020,644338000.0,2023,716295000.0,11.17%
SEAT,2020,35077000.0,2023,712879000.0,1932.33%
PRDO,2020,687314000.0,2023,710004000.0,3.30%
KN,2020,764300000.0,2023,707600000.0,-7.42%
DESP,2020,131334000.0,2023,706040000.0,437.59%
MG,2020,592571000.0,2023,705473000.0,19.05%
TG,2020,755290000.0,2023,704825000.0,-6.68%
TSAT,2020,820468000.0,2023,704161000.0,-14.18%
GCT,2020,275478000.0,2023,703831000.0,155.49%
KVYO,2021,290640000.0,2023,698099000.0,140.19%
AUB,2020,686784000.0,2023,696271000.0,1.38%
EVTC,2020,510588000.0,2023,694709000.0,36.06%
