Ticker,Oldest Revenue Year,Oldest Revenue,Most Recent Revenue Year,Most Recent Revenue,Percent Change
GT,2020,12321000000.0,2023,20066000000.0,62.86%
APTV,2020,13066000000.0,2023,20051000000.0,53.46%
TU,2020,15341000000.0,2023,20005000000.0,30.40%
DDL,2020,11335787000.0,2023,19971219000.0,76.18%
BAP,2020,15238086000.0,2023,19535203000.0,28.20%
WHR,2020,19456000000.0,2023,19455000000.0,-0.01%
FMS,2020,17859063000.0,2023,19453617000.0,8.93%
BDX,2020,16074000000.0,2023,19372000000.0,20.52%
RCI,2020,13916000000.0,2023,19308000000.0,38.75%
MAN,2020,18001000000.0,2023,18914500000.0,5.07%
AZUL,2020,5744126000.0,2023,18554425000.0,223.02%
PPG,2020,13834000000.0,2023,18246000000.0,31.89%
PHG,2020,17312000000.0,2023,18169000000.0,4.95%
KSS,2021,15955000000.0,2023,18098000000.0,13.43%
CYD,2020,20581170000.0,2023,18046349000.0,-12.32%
KD,2021,18657000000.0,2023,17026000000.0,-8.74%
SATS,2020,1887907000.0,2023,17015598000.0,801.29%
DK,2020,7301800000.0,2023,16917400000.0,131.69%
EL,2021,16215000000.0,2023,15910000000.0,-1.88%
SWK,2020,13057700000.0,2023,15781100000.0,20.86%
GAP,2021,13800000000.0,2023,15616000000.0,13.16%
JWN,2021,10715000000.0,2023,15530000000.0,44.94%
KVUE,2020,14467000000.0,2023,15444000000.0,6.75%
VTRS,2020,11946000000.0,2023,15426900000.0,29.14%
ADNT,2020,12670000000.0,2023,15395000000.0,21.51%
YI,2020,8203157000.0,2023,14948129000.0,82.22%
FOX,2021,12909000000.0,2023,14913000000.0,15.52%
WPP,2020,12002800000.0,2023,14844800000.0,23.68%
BAX,2020,11673000000.0,2023,14813000000.0,26.90%
LUMN,2020,20712000000.0,2023,14557000000.0,-29.72%
DXC,2021,17729000000.0,2023,14430000000.0,-18.61%
D,2020,14172000000.0,2023,14393000000.0,1.56%
XEL,2020,11526000000.0,2023,14206000000.0,23.25%
BWA,2020,10165000000.0,2023,14198000000.0,39.68%
BALL,2020,11781000000.0,2023,14029000000.0,19.08%
WDS,2020,3600000000.0,2023,13994000000.0,288.72%
ACGLO,2020,8291786000.0,2023,13294000000.0,60.33%
LX,2020,11645255000.0,2023,13057082000.0,12.12%
RERE,2020,4858199000.0,2023,12965782000.0,166.88%
FE,2020,10790000000.0,2023,12870000000.0,19.28%
EXPE,2020,5199000000.0,2023,12839000000.0,146.95%
AES,2020,9660000000.0,2023,12668000000.0,31.14%
SW,2020,10491488733.641642,2023,12460067429.392584,18.76%
HSIC,2020,10119141000.0,2023,12339000000.0,21.94%
WDC,2021,16922000000.0,2023,12318000000.0,-27.21%
HRL,2020,9608462000.0,2023,12110010000.0,26.03%
W,2020,14145000000.0,2023,12003000000.0,-15.14%
MOMO,2020,15024188000.0,2023,12002323000.0,-20.11%
PUK,2020,36247000000.0,2023,11970000000.0,-66.98%
ES,2020,8904430000.0,2023,11910705000.0,33.76%
IEP,2020,7423000000.0,2023,11847000000.0,59.60%
TAP,2020,9654000000.0,2023,11702100000.0,21.22%
LNC,2020,17556000000.0,2023,11702000000.0,-33.34%
LTM,2020,3923700000.0,2023,11640541000.0,196.67%
VFC,2021,9238830000.0,2023,11612475000.0,25.69%
CZR,2020,3628000000.0,2023,11528000000.0,217.75%
